date,id_compteur,nb_passages
2025-01-24,100054073,41
2025-01-24,100055268,95
2025-01-24,100056188,297
2025-01-24,300014985,450
2025-01-24,300014986,411
2025-01-24,300014993,125
2025-01-24,300014994,90
2025-01-24,300014995,444
2025-01-24,300014996,429
2025-01-24,300020478,128
2025-01-24,300020679,776
2025-01-24,300020816,290
2025-01-24,300020817,250
2025-01-24,300021685,4
2025-01-24,300028650,136
2025-01-24,ZLT24020668,72
2025-01-24,ZLT24020669,58
2025-01-25,100001753,45
2025-01-25,100003032,246
2025-01-25,100003040,8
2025-01-25,100003041,95
2025-01-25,100003042,108
2025-01-25,100004575,0
2025-01-25,100007390,3381
2025-01-25,100011747,32
2025-01-25,100011783,73
2025-01-25,100012217,231
2025-01-25,100017441,159
2025-01-25,100017523,36
2025-01-25,100025474,735
2025-01-25,100035408,50
2025-01-25,100035409,0
2025-01-25,100041114,12
2025-01-25,100047030,27
2025-01-25,100052600,154
2025-01-25,100052602,4
2025-01-25,100052603,20
2025-01-25,100052605,13
2025-01-25,100052606,34
2025-01-25,100053055,5
2025-01-25,100053059,70
2025-01-25,100053210,16
2025-01-25,100054073,28
2025-01-25,100055268,50
2025-01-25,100056188,156
2025-01-25,300014985,274
2025-01-25,300014986,226
2025-01-25,300014993,66
2025-01-25,300014994,51
2025-01-25,300014995,261
2025-01-25,300014996,232
2025-01-25,300020478,45
2025-01-25,300020679,403
2025-01-25,300020816,166
2025-01-25,300020817,129
2025-01-25,300021685,3
2025-01-25,300028650,104
2025-01-25,ZLT24020668,34
2025-01-25,ZLT24020669,32
2025-01-26,100001753,42
