annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
2000,13,CO,144,30622.0,19959400.0
2000,13,TR,89,11189.0,5884900.0
2000,24,CA,368,50160.39,10857622.0
2000,24,CO,39,50858.0,17012000.0
2000,24,DE,26,1098.0,
2000,24,TR,17,3485.0,66450.0
2000,5,CO,35,127845.5,17570333.0
2000,5,DE,66,5340.0,
2000,5,TR,693,252653.41,40885975.0
2000,8,CO,31,210829.22,29067832.0
2000,8,DE,41,2840.0,
2000,8,TR,241,124519.0,16989720.0
2000,4,CO,54,193622.51,27937677.0
2000,4,DE,41,2790.0,
2000,4,TR,369,262368.78,35591218.0
2000,9,CO,178,178333.13,33256552.0
2000,9,DE,13,2790.0,
2000,9,TR,246,124650.75,16741856.0
2000,3,CO,90,133197.95,19568031.0
2000,3,DE,70,3770.0,
2000,3,TR,367,84068.01,10984581.0
2000,27,CA,710,64775.0,34247801.0
2000,27,CO,202,334009.0,194676200.0
2000,27,DE,11,10008.0,
2000,27,TR,77,30824.0,18779750.0
2000,16,CO,344,66188.0,44244877.0
2000,16,DE,177,5075.0,
2000,6,CO,52,590641.25,72849823.0
2000,6,DE,37,4105.0,
2000,6,TR,1044,1724886.99,239825784.0
2000,2,CO,29,54742.5,7973333.0
2000,2,DE,30,2480.0,
2000,2,TR,336,115895.53,14497816.0
2001,1,CO,78,319963.5,45795663.0
2001,1,DE,32,6265.0,
2001,1,TR,510,487514.26,66607363.0
2001,10,"CO, DE",288,125562.0,59417991.0
2001,7,CO,31,217433.92,27048532.0
2001,7,DE,29,4230.0,
2001,7,TR,706,869413.99,117784742.0
2001,22,"CA, CO, DE, TR",211,22348.6,8552950.0
2001,13,CA,1239,129282.3,1772260.0
2001,13,CO,134,30910.0,20360000.0
2001,13,TR,92,10445.0,5602800.0
2001,24,CA,295,27714.62,5487658.0
2001,24,CO,46,97575.65,32234000.0
2001,24,DE,23,450.0,
2001,24,TR,10,305.0,44500.0
2001,5,CO,28,121892.88,16584597.0
2001,5,DE,63,4390.0,
2001,5,TR,779,264631.7,33199300.0
2001,8,CO,35,292108.43,40221130.0
2001,8,DE,42,5270.0,
2001,8,TR,302,1094173.36,33504032.0
2001,4,CO,58,182091.4,27262438.0
2001,4,DE,42,3410.0,
2001,4,TR,529,261518.06,36188649.0
2001,9,CO,228,218066.1,36483512.0
2001,9,DE,20,4340.0,
