heure,id_compteur,nb_passages
03:45:00,100052602,17
03:45:00,100052603,160
03:45:00,100052605,41
03:45:00,100052606,131
03:45:00,100053055,21
03:45:00,100053059,39
03:45:00,100053210,83
03:45:00,100054073,126
03:45:00,100055268,143
03:45:00,100056188,808
03:45:00,300014985,519
03:45:00,300014986,893
03:45:00,300014993,164
03:45:00,300014994,10
03:45:00,300014995,1047
03:45:00,300014996,368
03:45:00,300020478,329
03:45:00,300020679,310
03:45:00,300020816,239
03:45:00,300020817,279
03:45:00,300021685,34
03:45:00,300022314,0
03:45:00,300028650,144
03:45:00,ZLT24020668,134
03:45:00,ZLT24020669,67
04:00:00,100001753,188
04:00:00,100003032,646
04:00:00,100003040,3
04:00:00,100003041,311
04:00:00,100003042,311
04:00:00,100004575,0
04:00:00,100007390,2116
04:00:00,100011747,73
04:00:00,100011783,144
04:00:00,100012217,418
04:00:00,100012218,94
04:00:00,100017441,295
04:00:00,100017523,9
04:00:00,100025474,476
04:00:00,100034805,1
04:00:00,100035408,10
04:00:00,100035409,0
04:00:00,100041114,31
04:00:00,100047030,144
04:00:00,100052600,456
04:00:00,100052602,56
04:00:00,100052603,156
04:00:00,100052605,78
04:00:00,100052606,101
04:00:00,100053055,27
04:00:00,100053059,55
04:00:00,100053210,61
04:00:00,100054073,53
04:00:00,100055268,115
04:00:00,100056188,668
04:00:00,300014985,505
04:00:00,300014986,686
04:00:00,300014993,173
04:00:00,300014994,36
04:00:00,300014995,851
04:00:00,300014996,328
04:00:00,300020478,283
04:00:00,300020679,261
04:00:00,300020816,258
04:00:00,300020817,320
04:00:00,300021685,54
04:00:00,300022314,0
04:00:00,300028650,112
04:00:00,ZLT24020668,105
04:00:00,ZLT24020669,130
04:15:00,100001753,196
04:15:00,100003032,556
04:15:00,100003040,4
04:15:00,100003041,355
04:15:00,100003042,333
04:15:00,100004575,0
04:15:00,100007390,1871
04:15:00,100011747,104
04:15:00,100011783,162
04:15:00,100012217,303
04:15:00,100012218,55
04:15:00,100017441,273
04:15:00,100017523,18
04:15:00,100025474,432
04:15:00,100034805,11
04:15:00,100035408,5
04:15:00,100035409,0
04:15:00,100041114,25
04:15:00,100047030,240
04:15:00,100052600,442
04:15:00,100052602,57
04:15:00,100052603,131
04:15:00,100052605,42
04:15:00,100052606,96
04:15:00,100053055,34
04:15:00,100053059,109
04:15:00,100053210,128
04:15:00,100054073,42
04:15:00,100055268,116
04:15:00,100056188,577
04:15:00,300014985,386
04:15:00,300014986,508
04:15:00,300014993,135
04:15:00,300014994,19
04:15:00,300014995,707
04:15:00,300014996,294
04:15:00,300020478,251
04:15:00,300020679,265
04:15:00,300020816,249
04:15:00,300020817,243
04:15:00,300021685,61
04:15:00,300022314,0
04:15:00,300028650,133
04:15:00,ZLT24020668,115
04:15:00,ZLT24020669,107
04:30:00,100001753,170
04:30:00,100003032,499
04:30:00,100003040,12
04:30:00,100003041,442
04:30:00,100003042,256
04:30:00,100004575,0
04:30:00,100007390,1964
04:30:00,100011747,70
04:30:00,100011783,230
04:30:00,100012217,432
04:30:00,100012218,46
04:30:00,100017441,268
04:30:00,100017523,36
04:30:00,100025474,385
04:30:00,100034805,6
04:30:00,100035408,3
04:30:00,100035409,0
04:30:00,100041114,19
04:30:00,100047030,230
04:30:00,100052600,336
04:30:00,100052602,144
04:30:00,100052603,132
04:30:00,100052605,74
04:30:00,100052606,153
04:30:00,100053055,13
04:30:00,100053059,79
04:30:00,100053210,114
04:30:00,100054073,49
04:30:00,100055268,124
04:30:00,100056188,565
04:30:00,300014985,551
04:30:00,300014986,533
04:30:00,300014993,127
04:30:00,300014994,97
04:30:00,300014995,600
04:30:00,300014996,380
04:30:00,300020478,234
04:30:00,300020679,256
04:30:00,300020816,415
04:30:00,300020817,247
04:30:00,300021685,42
04:30:00,300022314,0
04:30:00,300028650,101
04:30:00,ZLT24020668,121
04:30:00,ZLT24020669,140
04:45:00,100001753,251
04:45:00,100003032,647
04:45:00,100003040,8
04:45:00,100003041,256
04:45:00,100003042,267
04:45:00,100004575,0
04:45:00,100007390,1369
04:45:00,100011747,101
04:45:00,100011783,235
04:45:00,100012217,318
04:45:00,100012218,43
04:45:00,100017441,285
04:45:00,100017523,43
04:45:00,100025474,459
04:45:00,100034805,5
04:45:00,100035408,9
04:45:00,100035409,0
04:45:00,100041114,53
04:45:00,100047030,248
04:45:00,100052600,526
04:45:00,100052602,214
04:45:00,100052603,144
04:45:00,100052605,164
04:45:00,100052606,181
04:45:00,100053055,84
04:45:00,100053059,70
04:45:00,100053210,155
04:45:00,100054073,92
04:45:00,100055268,165
04:45:00,100056188,670
04:45:00,300014985,592
04:45:00,300014986,396
04:45:00,300014993,190
04:45:00,300014994,10
04:45:00,300014995,551
04:45:00,300014996,455
04:45:00,300020478,468
04:45:00,300020679,262
04:45:00,300020816,352
04:45:00,300020817,323
04:45:00,300021685,59
04:45:00,300022314,0
04:45:00,300028650,96
04:45:00,ZLT24020668,120
04:45:00,ZLT24020669,132
05:00:00,100001753,382
05:00:00,100003032,563
05:00:00,100003040,14
05:00:00,100003041,426
05:00:00,100003042,246
05:00:00,100004575,0
05:00:00,100007390,1838
05:00:00,100011747,61
05:00:00,100011783,327
05:00:00,100012217,339
05:00:00,100012218,52
05:00:00,100017441,456
05:00:00,100017523,52
05:00:00,100025474,355
05:00:00,100034805,14
05:00:00,100035408,14
05:00:00,100035409,0
05:00:00,100041114,60
05:00:00,100047030,241
05:00:00,100052600,656
05:00:00,100052602,179
05:00:00,100052603,155
05:00:00,100052605,309
05:00:00,100052606,160
05:00:00,100053055,135
05:00:00,100053059,44
05:00:00,100053210,213
05:00:00,100054073,196
05:00:00,100055268,358
05:00:00,100056188,691
05:00:00,300014985,626
05:00:00,300014986,468
05:00:00,300014993,168
